bhk,area,ready_to_move,longitude,latitude,price
2,1300.236407,1,12.96991,77.59796,55
2,1275,1,12.274538,76.644605,51
2,933.1597222,1,12.778033,77.632191,43
2,929.9211427,1,28.6423,77.3445,62.5
2,999.009247,0,22.5922,88.484911,60.5
3,1250,1,10.03328,76.282571,42
3,1495.053957,1,26.916347,75.7956,66.5
3,1181.012946,1,30.74,76.65,52
2,1040,1,13.054202,77.674002,41.6
2,879.1208791,1,12.95161,80.14097,36
3,1350.308642,1,26.724219,88.326357,35
2,1333.010179,1,13.04034,77.591347,110
2,927.1779023,1,12.96991,77.59796,48
2,1122.171946,1,28.587711,77.403123,62
1,649.9837504,1,13.0352,77.5772,20
3,1394.117647,0,28.429614,77.481711,71.1
3,1800.08471,1,20.275267,85.862407,85
3,2124.896706,0,12.8855,77.5638,180
2,1100,1,21.15389,79.08306,22
3,2178.649237,1,13.092356,77.613468,120
2,881.1435285,1,13.05,80.11,45
2,944.8818898,1,18.452663,73.93104,42
3,1310.147689,1,28.5041,77.381557,55
1,630.00063,1,19.05444,72.84056,300
2,1219.80971,1,21.105779,79.078497,50
2,780.141844,1,22.54111,88.33778,27.5
3,1600,1,28.63601,77.433724,46
2,1180.412371,1,30.712867,76.648557,22.9
2,1000,0,24.48,86.7,39
2,1000,1,28.2102,76.8606,12.5
3,1400.107701,1,28.40473,77.367514,52
2,943.1266076,1,28.5041,77.381557,33
2,1150.146382,1,26.586306,74.873234,55
1,864.0674394,0,19.18,72.96333,82
2,857.7861968,1,19.1759,72.9522,240
3,1174.210077,1,12.852171,80.216826,55
2,1020.087884,0,18.5993,73.7625,65
4,1650.165017,1,22.312063,72.674296,65
2,1000,0,17.815234,83.35818,35
3,1300.052002,1,12.894088,77.548914,75
1,40606.19568,0,24.69028,78.41889,9110
2,1058.114928,1,18.539812,73.737678,65
1,400,0,18.5438,73.9438,30
3,1274.924779,1,22.803593,83.755013,250
2,1026.694045,1,19.014858,72.8662,220
2,1150.121065,1,20.36667,72.9,38
3,1200,1,28.460928,77.039391,60
1,475.0103263,1,24.69028,78.41889,46
1,301.9171163,0,24.69028,78.41889,26.3
2,1228.571429,0,12.843852,74.845271,51.6
2,986.0164934,1,13.077175,80.151453,55
3,1972.565158,0,28.431862,77.351104,71.9
1,420.6166888,0,19.048403,72.88731,130
3,1275.009808,1,25.232239,71.392013,32.5
1,406.024219,0,19.245347,73.124577,39.9
3,1862.562189,1,28.431862,77.351104,59.9
2,950.0146156,1,19.88879,75.34344,65
4,5200.945626,1,28.567633,77.383124,110
2,1049.969344,1,12.985039,77.54383,68.5
3,1615.008157,1,22.589694,88.372957,99
3,1150.0069,1,19.014858,72.8662,250
2,1100,1,26.955346,75.734793,27.5
2,906.2661833,0,24.69028,78.41889,70
3,1454.333915,1,10.77,76.38,50
3,1591.994542,1,28.506454,77.409568,70
2,573.8769151,1,28.406388,77.342588,22.1
3,1038.883942,1,19.12,72.91,280
3,1538.141758,1,13.11389,77.59833,74
2,5000,1,26.850391,75.814198,85
3,1602.084012,1,28.368269,77.37273,49.2
2,1200,1,16.51667,80.61667,45
2,760.07094,1,15.86667,74.5,60
2,739.8273736,0,23.25,77.41667,30
2,1260.02291,1,13.0915,74.7844,33
2,1100.151745,1,21.093676,79.111965,29
3,2293.077091,1,18.5438,73.9438,210
2,1146.480331,1,19.216097,72.821721,88.6
4,2224.059764,1,19.1615,72.8731,780
2,759.8784195,1,22.452032,88.298947,30
4,2260.251857,1,12.9506,77.5952,140
3,767.0182167,1,20.742166,80.104602,240
4,2500,1,28.66667,77.41667,160
4,2286.236854,0,21,77,100
2,1150.086256,1,28.577673,77.389781,60
2,1004.932182,1,18.966114,73.148278,81.5
2,800,1,22.56972,88.36972,34
3,993.75,0,26.706157,88.439748,31.8
2,1298.139334,1,23.169982,77.477889,30
2,996.797438,1,26.900926,75.775927,24.9
2,985.0194952,1,12.98556,77.66389,48
3,1118.75,1,12.91716,80.19287,53.7
